break silence	wsj_1279_1:12_17
ham it up	wsj_1163_35:27_28_29
miss the point	wsj_1095_0:17_18_19
make sure	wsj_1691_7:3_4
make sure	wsj_1920_0:5_6
make sure	wsj_1307_36:28_29
make sure	wsj_0972_27:11_12
make sure	wsj_1504_44:7_8
make sure	wsj_1504_25:3_4
make sure	wsj_1647_26:14_15
make sure	wsj_1375_17:20_21
make sure	wsj_0758_69:22_23
make sure	wsj_1572_52:11_12
make sure	wsj_0564_30:12_13
make sure	wsj_1307_32:16_17
make sure	wsj_1058_42:8_9
make sure	wsj_0446_35:12_13
make sure	wsj_0446_36:77_78
make sure	wsj_0051_8:15_16
make sure	wsj_2425_3:25_26
make sure	wsj_2381_10:5_6
make headway	wsj_0274_5:20_22
make headway	wsj_2053_36:7_9
make headway	wsj_1506_32:10_12
go poof	wsj_0447_0:12_13
hightail it	wsj_1705_0:19_20
wash one's hands of	wsj_0997_6:13_14_15_16
repeat oneself	wsj_2276_5:10_11
repeat oneself	wsj_1564_44:19_20
repeat oneself	wsj_1107_15:63_64
dare say	wsj_0296_1:41_42
bleed to death	wsj_0044_52:8_9_10
take something in stride	wsj_1789_9:10_12_13_14
take something in stride	wsj_2276_89:7_10_11_12
fall short	wsj_1581_1:7_9
fall short	wsj_0186_21:27_28
fall short	wsj_1630_8:17_18
fall short	wsj_0296_17:14_16
fall short	wsj_1744_2:20_21
split the difference	wsj_1034_7:23_24_25
split the difference	wsj_0692_45:15_16_17
have it both ways	wsj_1682_25:10_11_12_13
cut it	wsj_0214_43:10_11
second guess	wsj_1673_6:20_22
second guess	wsj_1307_22:10_12
take revenge	wsj_2038_1:11_12
keep a lid on	wsj_2043_9:6_7_8_9
keep a lid on	wsj_2036_12:6_7_8_9
keep a lid on	wsj_1600_10:15_16_17_18
pull the trigger	wsj_1307_13:13_14_15
smell blood	wsj_1272_34:10_12
raise one's hand	wsj_1047_13:11_12_13
raise one's hand	wsj_0750_2:24_25_26
put on airs	wsj_0296_46:6_7_8
keep going	wsj_1110_16:11_13
keep going	wsj_1432_45:6_7
keep going	wsj_1110_18:28_30
throw a fit	wsj_1388_2:3_5_6
put out feelers	wsj_2205_28:23_24_25
come to an end	wsj_1284_20:22_23_24_25
come to an end	wsj_0114_20:13_14_15_16
come to an end	wsj_1120_1:9_10_11_12
come to an end	wsj_1187_1:5_6_7_8
come to an end	wsj_0812_9:20_21_22_23
lord it over	wsj_0296_39:2_3_4
make much	wsj_0955_31:26_27
make much	wsj_1453_27:27_31
make much	wsj_1948_0:16_18
make much	wsj_0296_29:48_50
make much	wsj_2397_53:10_11
take lightly	wsj_1920_0:12_15
take lightly	wsj_1689_4:23_24
take lightly	wsj_0609_13:13_14
take a risk	wsj_1928_0:13_14_20
look the other way	wsj_1849_11:21_22_23_24
look the other way	wsj_1849_12:17_18_19_20
look the other way	wsj_1849_21:39_40_41_42
look the other way	wsj_1849_24:20_21_22_23
make up one's mind	wsj_0108_14:29_30_31_33
make up one's mind	wsj_1572_54:22_23_24_26
make up one's mind	wsj_0765_66:19_20_21_22
make up one's mind	wsj_0765_57:22_23_24_25
make up one's mind	wsj_0564_18:21_22_23_24
make up one's mind	wsj_1602_4:3_4_5_6
make up one's mind	wsj_0765_64:11_12_13_14
make whoopee	wsj_1831_39:9_10
give notice	wsj_1789_37:16_17
give notice	wsj_2344_8:7_16
give notice	wsj_2344_11:6_14
give notice	wsj_2401_1:26_28
give notice	wsj_1750_0:8_10
take heart	wsj_0758_72:2_3
take heart	wsj_1780_5:8_9
take to heart	wsj_1636_1:22_25_26
take to heart	wsj_0749_24:5_6_7
take to heart	wsj_0277_14:5_13_14
take to heart	wsj_1397_49:8_9_10
hold one's own	wsj_1515_39:27_28_29
hold one's own	wsj_2366_9:5_6_7
come home to roost	wsj_0290_40:35_36_37_38
wear the pants	wsj_1572_53:26_27_28
lie through one's teeth	wsj_0937_35:8_9_10_11
lie through one's teeth	wsj_0937_42:37_38_39_40
pick up the slack	wsj_2397_40:16_17_18_19
pick up the slack	wsj_0036_12:8_9_10_11
pick up the slack	wsj_1810_17:28_29_30_31
jump on the bandwagon	wsj_1636_41:24_25_26_27
jump on the bandwagon	wsj_2429_16:7_8_9_11
jump on the bandwagon	wsj_0955_28:4_5_6_8
have it	wsj_0214_29:50_51
have it	wsj_1317_51:14_15
have it	wsj_2406_4:22_23
have it	wsj_2111_5:3_4
have it	wsj_1388_35:6_7
have it	wsj_1146_60:4_5
have it	wsj_2201_5:14_15
have it	wsj_0114_6:2_3
have it	wsj_1146_179:6_7
have it	wsj_0944_37:20_21
stay at home	wsj_1870_18:24_25_26
stay at home	wsj_2225_9:19_21_23
stay at home	wsj_1271_8:28_29_30
come of age	wsj_0041_1:21_22_23
cease and desist	wsj_2031_5:24_26_28
come a long way	wsj_1996_37:19_20_21_22
hit the shelves	wsj_2320_11:3_4_5
go to pot	wsj_1323_2:4_5_6
make a difference	wsj_0407_6:20_21_22
make a difference	wsj_0087_5:3_4_6
stand trial	wsj_2264_0:6_7
turn the tables	wsj_1373_27:8_9_11
turn the tables	wsj_2418_14:13_14_15
turn the tables	wsj_1650_3:4_5_6
take the reins	wsj_0100_32:25_26_27
take over the reins	wsj_1045_5:9_10_11_12
will do	wsj_1623_21:6_7
will do	wsj_0725_70:17_19
will do	wsj_0357_3:15_16
will do	wsj_2320_30:6_7
will do	wsj_0747_16:22_23
will do	wsj_0594_2:20_21
will do	wsj_1574_10:9_10
will do	wsj_1793_11:21_23
will do	wsj_2058_18:15_16
will do	wsj_0765_11:14_15
will do	wsj_0561_28:4_5
will do	wsj_1929_11:15_16
will do	wsj_0748_5:5_6
will do	wsj_1307_29:3_4
will do	wsj_2376_55:20_22
will do	wsj_0553_56:7_8
will do	wsj_1936_54:2_5
will do	wsj_1700_29:10_12
will do	wsj_1971_32:8_9
will do	wsj_0606_18:27_28
will do	wsj_2412_24:5_7
will do	wsj_0072_0:30_31
will do	wsj_0671_47:16_17
let know	wsj_1691_32:27_29
let know	wsj_0107_10:22_26
let know	wsj_1131_52:23_25
let know	wsj_2224_4:16_18
fit the bill	wsj_1567_3:9_10_11
take stock	wsj_2381_33:41_42
fall in love with wsj_1327_22:11_12_13_14
fall in love with	wsj_0972_22:2_3_4_5
fall in love with wsj_0819_7:31_32_33_34
fall in love with	wsj_2161_19:24_25_26_27
move sideways	wsj_1102_13:9_10
go to the polls	wsj_1137_0:22_23_24_25
bury the hatchet	wsj_1724_7:10_11_12
cut loose	wsj_2013_15:10_11
cut loose	wsj_0554_25:10_11
have a way with	wsj_1376_4:4_5_6_7
hit the fan	wsj_0966_22:27_28_29
put one's finger on	wsj_2402_40:10_11_12_13
see coming	wsj_2232_60:6_9
see coming	wsj_1875_84:15_20
make love	wsj_0214_79:10_11
carry oneself	wsj_1615_32:6_7
draw a line	wsj_1094_23:11_12_14
take someone's word for it	wsj_1143_27:21_22_23_24_25
